,Coin,classification,total_risk_usd,total_pnl,efficiency%
0,PNUT,Extreme Fear,545.21,1855.649224,340.3549502026742
1,AVAX,Neutral,1132.5461111111113,1268.1939328333333,111.977244934349
2,@38,Extreme Fear,33.36,33.271993,99.73619004796164
3,@109,Greed,417.70692307692303,416.2189364615385,99.64377257517694
4,@112,Greed,7.22,7.1672545,99.26945290858727
5,@114,Greed,0.66,0.6545385,99.1725
6,@103,Greed,2.27,2.2473455,99.00200440528634
7,@116,Greed,0.745,0.736616,98.87463087248322
8,@31,Extreme Greed,16.805,16.6061365,98.81664088069029
9,@41,Extreme Fear,37.23,36.73844,98.67966693526726
10,@47,Extreme Fear,25.549999999999997,25.156729,98.46077886497065
11,@35,Extreme Fear,34.105000000000004,33.5140635,98.26730244832135
12,@36,Extreme Greed,8.045,7.8315365,97.34663144810442
13,@74,Extreme Greed,54.68,53.09046414285714,97.09302147559828
14,@53,Extreme Greed,16.87,16.2721895,96.4563692946058
15,@103,Extreme Greed,7.0920000000000005,6.812669,96.06132261703326
16,@138,Fear,29.38,15.71019,53.47239618788292
17,ENA,Fear,1774.9658959537571,767.8850989248555,43.2619635495724
18,DOGE,Fear,1580.2075000000002,658.94759225,41.700067380391495
19,DOGE,Neutral,7663.64282051282,2969.4734945384616,38.74754557441335
20,@138,Neutral,25.39,9.765152,38.46062229224104
21,ARB,Fear,2440.1981818181816,797.0925143636364,32.66507287411082
22,EIGEN,Fear,919.7235897435897,288.47173007692305,31.36504633499139
23,ZRO,Neutral,6634.517199999999,1446.8952208,21.808598533741087
24,USUAL,Neutral,495.6264285714286,49.79107914285714,10.046090416601212
