,Coin,classification,total_pnl,avg_pnl,trade_count,avg_trade_size_usd,total_fees
0,@1,Extreme Greed,480.2558,18.471376923076924,26,120.905,0.43919827
1,@1,Fear,0.0,0.0,1,0.58,0.0
2,@1,Greed,1.078679000000001,0.1797798333333335,6,83.05,0.15367548
3,@10,Extreme Fear,-0.063484,-0.031742,2,18.630000000000003,0.012517
4,@10,Fear,0.0,0.0,1,0.0,0.0
5,@10,Greed,0.0,0.0,1,0.05,0.0
6,@100,Extreme Greed,27.627142,6.9067855,4,10.6675,0.0448066
7,@103,Extreme Greed,34.063345,6.812669,5,7.0920000000000005,0.012055
8,@103,Greed,4.494691,2.2473455,2,2.27,0.001361
9,@107,Extreme Fear,-135740.199886,-92.6554265433447,1465,1653.9079453924915,340.70243624
10,@107,Extreme Greed,1950219.777623,203.74214141485584,9572,2077.368969912244,1723.57490083
11,@107,Fear,-13611.276887999999,-2.6714969358194307,5095,1554.1898567222768,1154.13444208
12,@107,Greed,703183.0024839999,90.94451661717537,7732,2147.231001034661,1557.19853066
13,@107,Neutral,198781.017848,50.298840548582994,3952,1898.6821659919028,1005.67640365
14,@109,Extreme Greed,2.727753,0.9092509999999999,3,4.253333333333333,0.34035
15,@109,Fear,0.0,0.0,3,36.203333333333326,2.05863
16,@109,Greed,5410.846174,416.2189364615385,13,417.70692307692303,1.899176
17,@109,Neutral,0.510213,0.510213,1,119.1,0.041685
18,@11,Fear,0.0,0.0,1,0.61,0.0
19,@112,Extreme Greed,-66.44923299999999,-13.289846599999999,5,149.038,5.895987
20,@112,Greed,14.334509,7.1672545,2,7.22,0.004331
21,@113,Extreme Greed,15.495707,5.165235666666667,3,13.603333333333333,1.450721
22,@113,Greed,1.430513,0.7152565,2,0.735,0.00044
23,@114,Greed,1.309077,0.6545385,2,0.66,0.000396
24,@116,Extreme Greed,0.249717,0.083239,3,3.453333333333333,5.7835659999999995
25,@116,Greed,1.473232,0.736616,2,0.745,0.000447
26,@117,Extreme Greed,0.0,0.0,2,5.04,0.05365
27,@117,Greed,4.631689,2.3158445,2,2.345,0.001405
28,@12,Extreme Greed,0.0,0.0,2,4.45,0.002989
29,@12,Greed,0.0,0.0,1,0.01,0.0
30,@123,Extreme Greed,0.0,0.0,161,2445.6204347826088,4.12547503
31,@124,Extreme Greed,-128.603876,-16.0754845,8,146.635,0.29957404
32,@125,Extreme Greed,474.640081,21.574549136363636,22,237.90999999999997,1.39078013
33,@125,Greed,-104.37551400000001,-17.395919000000003,6,41.233333333333334,0.082431
34,@13,Extreme Fear,-0.12379,-0.061895,2,26.43,0.017757000000000002
35,@13,Fear,0.0,0.0,1,0.0,0.0
36,@135,Extreme Greed,-5981.36399,-5981.36399,1,15.56,0.005226
37,@138,Fear,31.42038,15.71019,2,29.38,0.019743
38,@138,Neutral,19.530304,9.765152,2,25.39,0.01706
39,@14,Fear,0.0,0.0,17,49.957647058823525,343.66645
40,@142,Extreme Fear,1203.890254,15.634938363636362,77,1484.8703896103896,16.0226911669
41,@142,Fear,1323.05518,5.777533537117904,229,4820.69096069869,69.047570902
42,@142,Greed,1094.468599,1.691605253477589,647,1049.5161205564143,45.2404640407
43,@142,Neutral,4488.421674,14.525636485436893,309,1472.6157281553399,39.3573088139
44,@147,Greed,-350.632694,-70.1265388,5,122.51200000000001,0.205813
45,@15,Fear,0.0,0.0,2,0.555,0.0
46,@151,Fear,-44.712482,-1.4904160666666668,30,1063.2043333333334,2.904043264
47,@151,Greed,11615.017126,40.051783193103454,290,1861.874551724138,55.292876
48,@151,Neutral,0.0,0.0,3,666.5300000000001,0.000227944
49,@152,Fear,0.584436,0.007590077922077922,77,756.8771428571429,5.594748
50,@153,Fear,0.577077,0.020609892857142854,28,2055.7717857142857,5.525893
51,@153,Greed,26.953149,0.46470946551724135,58,817.9105172413792,4.554078
52,@153,Neutral,0.0,0.0,1,0.01,0.0
53,@16,Extreme Fear,-0.060429,-0.0302145,2,17.93,0.012048999999999999
54,@16,Fear,0.0,0.0,1,0.0,0.0
55,@16,Greed,0.0,0.0,1,0.04,0.0
56,@17,Greed,0.0,0.0,1,0.0,0.0
57,@18,Greed,0.0,0.0,1,0.46,0.0
58,@19,Greed,0.0,0.0,2,0.405,0.0
59,@2,Extreme Greed,-0.907946,-0.453973,2,499.91499999999996,131.04356700000002
60,@2,Greed,0.0,0.0,3,0.016666666666666666,0.0
61,@20,Fear,0.0,0.0,14,29.032857142857146,413.909778
62,@20,Greed,0.0,0.0,4,41.25,66.86971
63,@20,Neutral,4.738087999999999,0.22562323809523807,21,24.594285714285714,333.70511
64,@21,Greed,0.0,0.0,1,0.94,0.0
65,@23,Fear,0.0,0.0,9,168.85666666666668,0.26896713
66,@23,Greed,0.0,0.0,12,212.05999999999997,0.41620751
67,@23,Neutral,0.0,0.0,13,88.80076923076923,0.42132299
68,@24,Extreme Greed,-0.002936,-0.001468,2,1.355,0.0009090000000000001
69,@24,Greed,0.0,0.0,1,0.0,0.0
70,@25,Greed,0.0,0.0,1,0.65,0.0
71,@26,Extreme Fear,-0.25801799999999997,-0.032252249999999996,8,3.07125,0.008246
72,@26,Fear,0.0,0.0,1,0.0,0.0
73,@26,Greed,0.0,0.0,1,0.05,0.0
74,@28,Fear,0.0,0.0,1,0.96,0.0
75,@28,Neutral,0.0,0.0,1,0.78,0.0
76,@29,Extreme Fear,-0.078374,-0.0195935,4,5.925,0.007962
77,@29,Fear,0.0,0.0,1,0.0,0.0
78,@29,Greed,0.0,0.0,1,0.03,0.0
