,classification,pnl_label,trade_count,total_trade_count_pnl,win_loss_%
0,Extreme Fear,Loss,11335,18213,62.235765661889864
1,Extreme Fear,Profit,6878,18213,37.76423433811014
2,Extreme Greed,Loss,20491,37390,54.80342337523402
3,Extreme Greed,Profit,16899,37390,45.19657662476598
4,Fear,Loss,31430,53815,58.40379076465669
5,Fear,Profit,22385,53815,41.59620923534331
6,Greed,Loss,28684,46385,61.83895655923251
7,Greed,Profit,17701,46385,38.161043440767486
8,Neutral,Loss,20260,33413,60.635082153652775
9,Neutral,Profit,13153,33413,39.36491784634723
