,Coin,classification,total_risk_usd,total_pnl,efficiency%
0,@135,Extreme Greed,15.56,-5981.36399,-38440.64260925449
1,@83,Neutral,16.356666666666666,-348.26323533333334,-2129.1822009374364
2,@147,Greed,122.51200000000001,-70.1265388,-57.24054688520308
3,GRIFFAIN,Extreme Fear,213.0325,-94.52310675,-44.370275310105264
4,@125,Greed,41.233333333333334,-17.395919000000003,-42.18897089733226
5,@83,Greed,20.44,-7.1406081666666665,-34.934482224396604
6,@63,Greed,29.975,-10.331773,-34.46796663886572
7,WIF,Fear,780.4242857142857,-237.6318999285714,-30.44906524289901
8,TRUMP,Greed,3871.992409090909,-984.1610102977273,-25.41743129421049
9,@95,Extreme Greed,60.39,-14.7190305,-24.373291107799304
10,@9,Extreme Greed,120.83500000000001,-29.2824445,-24.233412918442504
11,ENA,Neutral,792.5948000000001,-174.7205272,-22.04411727152386
12,OM,Neutral,363.5392307692308,-67.80042615384615,-18.650098920653992
13,S,Extreme Fear,1230.2448571428572,-219.12996571428573,-17.811898537271443
14,FARTCOIN,Extreme Fear,1746.0163110307415,-249.47088467811932,-14.288004247271147
15,USUAL,Extreme Fear,537.635,-75.41086214705882,-14.026404930307518
16,HPOS,Extreme Greed,265.83384615384614,-33.94726373076923,-12.770105922149174
17,PURR/USDC,Neutral,556.307311827957,-65.85584756451614,-11.83803379253132
18,@4,Extreme Fear,116.813625,-13.8107095625,-11.82285847434321
19,@124,Extreme Greed,146.635,-16.0754845,-10.96292460872234
20,TIA,Neutral,1269.8607142857143,-118.91263292857143,-9.364226453407431
21,@51,Fear,74.51605263157894,-3.793198855263158,-5.090445241399769
22,JUP,Fear,1182.139696969697,-42.95800166666667,-3.6339192209504025
23,KAITO,Fear,3116.6827142857146,-105.43834667142856,-3.383031137181157
24,MEME,Fear,460.13,-8.262227214285714,-1.795628890593031
